timestamp	controllerRecord
2014-06-25T08:16:41.175000	1111111111111111
2014-06-25T08:16:42.157000	1111111111111111
2014-06-25T08:16:42.174000	1111111111111111
2014-06-25T08:16:42.190000	1111111111111111
2014-06-25T08:16:42.207000	1111111111111111
2014-06-25T08:16:42.224000	1111111111111111
2014-06-25T08:16:42.240000	1111111111111111
2014-06-25T08:16:42.257000	1111111111111111
2014-06-25T08:16:42.274000	1111111111111111
2014-06-25T08:16:42.290000	1111111111111111
2014-06-25T08:16:42.307000	1111111111111111
2014-06-25T08:16:42.324000	1111111111111111
2014-06-25T08:16:42.340000	1111111111111111
2014-06-25T08:16:42.357000	1111111111111111
2014-06-25T08:16:42.374000	1111111111111111
2014-06-25T08:16:42.390000	1111111111111111
2014-06-25T08:16:42.407000	1111111111111111
2014-06-25T08:16:42.423000	1111111111111111
2014-06-25T08:16:42.440000	1111111111111111
2014-06-25T08:16:42.457000	1111111111111111
2014-06-25T08:16:42.473000	1111111111111111
2014-06-25T08:16:42.490000	1111111111111111
2014-06-25T08:16:42.507000	1111111111111111
2014-06-25T08:16:42.523000	1111111111111111
2014-06-25T08:16:42.540000	1111111111111111
2014-06-25T08:16:42.557000	1111111111111111
2014-06-25T08:16:42.573000	1111111111111111
2014-06-25T08:16:42.590000	1111111111111111
2014-06-25T08:16:42.606000	1111111111111111
2014-06-25T08:16:42.623000	1111111111111111
2014-06-25T08:16:42.640000	1111111111111111
2014-06-25T08:16:42.656000	1111111111111111
2014-06-25T08:16:42.673000	1111111111111111
2014-06-25T08:16:42.690000	1111111111111111
2014-06-25T08:16:42.706000	1111111111111111
2014-06-25T08:16:42.723000	1111111111111111
2014-06-25T08:16:42.740000	1111111111111111
2014-06-25T08:16:42.756000	1111111011111111
2014-06-25T08:16:42.773000	1111111011111111
2014-06-25T08:16:42.790000	1111111011111111
2014-06-25T08:16:42.806000	1111111011111111
2014-06-25T08:16:42.823000	1111111011111111
2014-06-25T08:16:42.839000	1111111011111111
2014-06-25T08:16:42.856000	1111111111111111
2014-06-25T08:16:42.873000	1111111111101111
2014-06-25T08:16:42.889000	1111111111101111
2014-06-25T08:16:42.906000	1111111111101111
2014-06-25T08:16:42.923000	1111111111101111
2014-06-25T08:16:42.939000	1111111111101111
2014-06-25T08:16:42.956000	1111111011101111
2014-06-25T08:16:42.973000	1111111011101111
2014-06-25T08:16:42.989000	1111111011111111
2014-06-25T08:16:43.006000	1111111011111111
2014-06-25T08:16:43.022000	1111111111111111
2014-06-25T08:16:43.039000	1111111111111111
2014-06-25T08:16:43.056000	1111111111111111
2014-06-25T08:16:43.072000	1111111011111111
2014-06-25T08:16:43.089000	1111111011111111
2014-06-25T08:16:43.106000	1111111011111111
2014-06-25T08:16:43.122000	1111111011111111
2014-06-25T08:16:43.139000	1111111011101111
2014-06-25T08:16:43.156000	1111111111101111
2014-06-25T08:16:43.172000	1111111111101111
2014-06-25T08:16:43.189000	1111111111101111
2014-06-25T08:16:43.205000	1111111111101111
2014-06-25T08:16:43.222000	1111111111101111
2014-06-25T08:16:43.239000	1111111011111111
2014-06-25T08:16:43.255000	1111111011111111
2014-06-25T08:16:43.272000	1111111011111111
2014-06-25T08:16:43.289000	1111111111111111
2014-06-25T08:16:43.305000	1111111011111111
2014-06-25T08:16:43.322000	1111111011111111
2014-06-25T08:16:43.339000	1111111011111111
2014-06-25T08:16:43.355000	1111111011111111
2014-06-25T08:16:43.372000	1111111011111111
2014-06-25T08:16:43.389000	1111111011111111
2014-06-25T08:16:43.405000	1111111011111111
2014-06-25T08:16:43.422000	1111111011111111
2014-06-25T08:16:43.438000	1111111011111111
2014-06-25T08:16:43.455000	1111111111111111
2014-06-25T08:16:43.472000	1111111111111111
2014-06-25T08:16:43.488000	1111111111111111
2014-06-25T08:16:43.505000	1111111111111111
2014-06-25T08:16:43.522000	1111111111111111
2014-06-25T08:16:43.538000	1111111011111111
2014-06-25T08:16:43.555000	1111111011111111
2014-06-25T08:16:43.572000	1111111011111111
2014-06-25T08:16:43.588000	1111111011111111
2014-06-25T08:16:43.605000	1111111011111111
2014-06-25T08:16:43.621000	1111111011111111
2014-06-25T08:16:43.638000	1111111011111111
2014-06-25T08:16:43.655000	1111111111111111
2014-06-25T08:16:43.671000	1111111111111111
2014-06-25T08:16:43.688000	1111111111111111
2014-06-25T08:16:43.705000	1111111011111111
2014-06-25T08:16:43.721000	1111111011111111
2014-06-25T08:16:43.739000	1111111011111111
2014-06-25T08:16:43.755000	1111111011111111
2014-06-25T08:16:43.921000	1111111011111110
2014-06-25T08:16:44.903000	1111111111111110
